                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8934,                 2.7239,                0.91133,                0.88047,                0.09009,                0.08447,                0.02533,                 2.8199,                 1.6785,                0.85484,             0.00041344,             0.00041344,             0.00041344
                      2,                  2.649,                 1.6272,                0.85544,                0.64169,                0.10848,                0.11198,                0.03548,                 2.6207,                 1.4652,                 0.8269,             0.00074792,             0.00074792,             0.00074792
                      3,                 2.5949,                 1.4875,                0.84558,                0.64263,                0.12364,                0.11878,                0.03777,                 2.6415,                 1.4173,                0.82521,             0.00099991,             0.00099991,             0.00099991
                      4,                 2.5451,                 1.4192,                 0.8392,                0.64132,                0.13488,                 0.1361,                0.04602,                 2.4562,                  1.331,                0.81556,             0.00087875,             0.00087875,             0.00087875
                      5,                 2.3953,                 1.3285,                0.83479,                0.62403,                0.13866,                0.13108,                0.04132,                 2.4497,                 1.3179,                0.81877,               0.000755,               0.000755,               0.000755
                      6,                 2.3596,                 1.3022,                0.82233,                0.68887,                0.15039,                0.15485,                0.05404,                 2.3551,                 1.2474,                0.81084,             0.00063125,             0.00063125,             0.00063125
                      7,                 2.2892,                 1.2828,                 0.8195,                0.72397,                0.17798,                 0.1708,                0.06264,                 2.3584,                 1.2273,                0.81038,              0.0005075,              0.0005075,              0.0005075
                      8,                 2.2479,                 1.2317,                0.81295,                0.72111,                0.17773,                 0.1825,                0.06985,                 2.2497,                 1.1917,                0.80098,             0.00038375,             0.00038375,             0.00038375
                      9,                 2.1864,                 1.1939,                0.80942,                 0.7198,                0.17862,                0.18597,                 0.0701,                 2.2172,                 1.1642,                0.79994,                0.00026,                0.00026,                0.00026
                     10,                 2.1612,                 1.1765,                0.81197,                0.72468,                0.18732,                0.18877,                0.07286,                 2.1905,                 1.1587,                0.79953,             0.00013625,             0.00013625,             0.00013625
