image_path,label_path,filename,split,annotations,num_pitches,avg_visible_keypoints,augmented,augmentation_type
field_dataset/train/images/08fd33_0_10_png.rf.903c147363abe8351891ebcaa1d09c13.jpg,field_dataset/train/labels/08fd33_0_10_png.rf.903c147363abe8351891ebcaa1d09c13.txt,08fd33_0_10_png.rf.903c147363abe8351891ebcaa1d09c13.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5279060185185186, 'width': 1.0, 'height': 0.6424728703703704, 'keypoints': [(0.0023211979166666663, 0.21907222222222222, 2), (0.02380953125, 0.39703194444444445, 0), (0.02380953125, 0.46161916666666664, 0), (0.02380953125, 0.5941928703703704, 0), (0.019841249999999998, 0.657080462962963, 0), (0.019841249999999998, 0.7862549074074074, 0), (0.08994708333333333, 0.4633187962962963, 0), (0.08994708333333333, 0.5941928703703704, 0), (0.18783067708333334, 0.5279060185185186, 0), (0.13830380208333332, 0.27933962962962966, 2), (0.075445, 0.3406427777777778, 2), (0.2986949479166666, 0.5951112962962962, 0), (0.29894182291666666, 0.6587800925925925, 0), (0.6089569791666667, 0.23484518518518518, 2), (0.6123953125, 0.34161601851851847, 2), (0.6181011979166667, 0.47308370370370373, 2), (0.6318544270833333, 0.8158999074074075, 2), (0.7037036979166668, 0.4004312037037037, 0), (0.70634921875, 0.4650184259259259, 0), (0.7037036979166668, 0.5924932407407407, 0), (0.70634921875, 0.6604798148148149, 0), (0.7989418229166667, 0.5296056481481481, 0), (0.9047619270833334, 0.46161916666666664, 0), (0.9047619270833334, 0.5941928703703704, 0), (0.98015875, 0.26785749999999997, 0), (0.98015875, 0.3987315740740741, 0), (0.98015875, 0.46161916666666664, 0), (0.9761904687499999, 0.5941928703703704, 0), (0.98015875, 0.657080462962963, 0), (0.9761904687499999, 0.787954537037037, 0), (0.4599128645833333, 0.4013836111111111, 2), (0.7749744791666667, 0.40910731481481477, 2)], 'num_visible_keypoints': 9}]",1,9.0,False,original
field_dataset/train/images/08fd33_0_6_png.rf.f5bfb6371cda79137dea256ad1d863af.jpg,field_dataset/train/labels/08fd33_0_6_png.rf.f5bfb6371cda79137dea256ad1d863af.txt,08fd33_0_6_png.rf.f5bfb6371cda79137dea256ad1d863af.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5861942592592593, 'width': 1.0, 'height': 0.8276113888888889, 'keypoints': [(0.02380953125, 0.24901925925925927, 0), (0.02380953125, 0.4176067592592593, 0), (0.02380953125, 0.5008058333333334, 0), (0.02380953125, 0.6715827777777778, 0), (0.019841249999999998, 0.7525923148148148, 0), (0.019841249999999998, 0.9189904629629629, 0), (0.08994708333333333, 0.5029952777777779, 0), (0.08994708333333333, 0.6715827777777778, 0), (0.19067385416666666, 0.5916956481481481, 0), (0.29365078125, 0.41979620370370374, 0), (0.29629630208333335, 0.5029952777777779, 0), (0.2986979166666667, 0.6678530555555555, 0), (0.29894182291666666, 0.7547818518518519, 0), (0.2875520833333333, 0.22440657407407408, 2), (0.2971258333333333, 0.35876833333333336, 2), (0.3087334375, 0.5250049074074075, 2), (0.33729182291666665, 0.9525033333333334, 2), (0.8774185416666668, 0.26314, 2), (0.9624777083333333, 0.33772314814814813, 2), (0.7037036979166668, 0.6693933333333333, 0), (0.70634921875, 0.7569712962962963, 0), (0.7989418229166667, 0.5883837037037036, 0), (0.9047619270833334, 0.5008058333333334, 0), (0.9047619270833334, 0.6715827777777778, 0), (0.98015875, 0.25120870370370374, 0), (0.98015875, 0.41979620370370374, 0), (0.98015875, 0.5008058333333334, 0), (0.9761904687499999, 0.6715827777777778, 0), (0.9761904687499999, 0.7525923148148148, 0), (0.9761904687499999, 0.9211799074074074, 0), (0.09938255208333334, 0.44736898148148146, 2), (0.49473244791666665, 0.41625231481481484, 2)], 'num_visible_keypoints': 8}]",1,8.0,False,original
field_dataset/train/images/08fd33_0_9_png.rf.2ff34f1b71b07bac318e67786f74fe39.jpg,field_dataset/train/labels/08fd33_0_9_png.rf.2ff34f1b71b07bac318e67786f74fe39.txt,08fd33_0_9_png.rf.2ff34f1b71b07bac318e67786f74fe39.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5687174074074074, 'width': 1.0, 'height': 0.7691334259259259, 'keypoints': [(0.02380953125, 0.09259259259259259, 0), (0.02274578125, 0.29938509259259255, 0), (0.02380953125, 0.39682537037037036, 0), (0.02380953125, 0.6031746296296296, 0), (0.019841249999999998, 0.7010582407407407, 0), (0.019841249999999998, 0.9021163888888889, 0), (0.08994708333333333, 0.3994709259259259, 0), (0.08994708333333333, 0.6031746296296296, 0), (0.18791098958333335, 0.49839407407407404, 0), (0.29365078125, 0.29894175925925925, 0), (0.297074375, 0.40218462962962964, 0), (0.29894182291666666, 0.6031746296296296, 0), (0.29894182291666666, 0.7037037037037037, 0), (0.47023927083333333, 0.21569009259259259, 2), (0.47725421874999996, 0.34032842592592594, 2), (0.4871175, 0.49428527777777775, 2), (0.5073405208333334, 0.8889033333333333, 2), (0.7037036979166668, 0.3015873148148148, 0), (0.70965578125, 0.40250287037037036, 0), (0.7037036979166668, 0.6005290740740741, 0), (0.70634921875, 0.7063491666666666, 0), (0.7989418229166667, 0.5026454629629629, 0), (0.9065673958333333, 0.39806138888888887, 0), (0.9047619270833334, 0.6031746296296296, 0), (0.98015875, 0.09523805555555556, 0), (0.98015875, 0.29894175925925925, 0), (0.97861328125, 0.39424194444444444, 0), (0.9752685416666667, 0.6011212037037037, 0), (0.87254640625, 0.6822772222222223, 0), (0.9780720833333334, 0.9059606481481481, 0), (0.29979249999999996, 0.4186993518518518, 2), (0.6628621354166667, 0.40807296296296297, 2)], 'num_visible_keypoints': 6}]",1,6.0,False,original
field_dataset/train/images/08fd33_2_10_png.rf.b7602bde9a39a1780c447e0717c406aa.jpg,field_dataset/train/labels/08fd33_2_10_png.rf.b7602bde9a39a1780c447e0717c406aa.txt,08fd33_2_10_png.rf.b7602bde9a39a1780c447e0717c406aa.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5860025925925926, 'width': 1.0, 'height': 0.6812644444444445, 'keypoints': [(0.37805583333333337, 0.254937037037037, 2), (0.31269125000000003, 0.2961769444444445, 2), (0.24609171875, 0.3395797222222222, 2), (0.10528562500000001, 0.43031324074074073, 2), (0.019841249999999998, 0.7229763888888888, 0), (0.019841249999999998, 0.8599501851851852, 0), (0.30778807291666666, 0.34411888888888886, 2), (0.17528890625000002, 0.4401041666666667, 2), (0.3195943229166666, 0.3959164814814815, 2), (0.4909790104166667, 0.3119140740740741, 2), (0.43228963541666665, 0.36672453703703706, 2), (0.3447265625, 0.4479925925925926, 2), (0.23881223958333334, 0.5465241666666666, 2), (0.9633829687500001, 0.2991138888888889, 2), (0.9641336979166667, 0.41190685185185183, 2), (0.9658528645833333, 0.5476453703703703, 2), (0.9706115625, 0.9067636111111111, 2), (0.7037036979166668, 0.4508311111111111, 0), (0.7069254687500001, 0.5194227777777778, 0), (0.7037036979166668, 0.654489537037037, 0), (0.70634921875, 0.7265810185185185, 0), (0.7989418229166667, 0.5878049074074074, 0), (0.9047619270833334, 0.515713425925926, 0), (0.9047619270833334, 0.6562917592592593, 0), (0.98015875, 0.3102526851851852, 0), (0.98015875, 0.4490287962962963, 0), (0.98015875, 0.515713425925926, 0), (0.9761904687499999, 0.6562917592592593, 0), (0.98015875, 0.7229763888888888, 0), (0.9761904687499999, 0.8617524999999999, 0), (0.7989013541666666, 0.4482819444444444, 2), (0.6005291145833334, 0.5860025925925926, 0)], 'num_visible_keypoints': 16}]",1,16.0,False,original
field_dataset/train/images/08fd33_2_11_png.rf.2fd055f5aeb39c80991a4a7d26c1a982.jpg,field_dataset/train/labels/08fd33_2_11_png.rf.2fd055f5aeb39c80991a4a7d26c1a982.txt,08fd33_2_11_png.rf.2fd055f5aeb39c80991a4a7d26c1a982.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5837492592592592, 'width': 1.0, 'height': 0.5867983333333333, 'keypoints': [(0.47641484375, 0.30295916666666667, 2), (0.42889890625, 0.3325437037037037, 2), (0.3749575, 0.36584037037037037, 2), (0.2668314583333334, 0.43486777777777774, 2), (0.17715723958333335, 0.4915791666666666, 2), (0.024385729166666665, 0.5884947222222222, 2), (0.41951046875000003, 0.37212287037037034, 2), (0.31708302083333334, 0.44466500000000003, 2), (0.4299350520833333, 0.41127907407407405, 2), (0.5679686979166667, 0.35038453703703704, 2), (0.52283125, 0.3899412037037037, 2), (0.44994104166666665, 0.4557638888888889, 2), (0.3657566666666667, 0.529227037037037, 2), (0.9468701041666667, 0.3482351851851852, 2), (0.9462485937499999, 0.437359537037037, 2), (0.94715578125, 0.5488932407407408, 2), (0.9478873958333334, 0.8380919444444445, 2), (0.7037036979166668, 0.3015873148148148, 0), (0.70634921875, 0.4021163888888889, 0), (0.7037036979166668, 0.6005290740740741, 0), (0.70634921875, 0.7063491666666666, 0), (0.7989418229166667, 0.5026454629629629, 0), (0.905651875, 0.40172166666666664, 0), (0.904695625, 0.5971787962962962, 0), (0.98015875, 0.09523805555555556, 0), (0.98015875, 0.29894175925925925, 0), (0.98015875, 0.39682537037037036, 0), (0.9761904687499999, 0.6031746296296296, 0), (0.98015875, 0.7010582407407407, 0), (0.9761904687499999, 0.9047619444444445, 0), (0.8124590104166667, 0.46879185185185185, 2), (0.6064941666666667, 0.49896555555555555, 0)], 'num_visible_keypoints': 18}]",1,18.0,False,original
field_dataset/train/images/08fd33_2_12_png.rf.83855dd839c8993d6dd9cce00c094c0d.jpg,field_dataset/train/labels/08fd33_2_12_png.rf.83855dd839c8993d6dd9cce00c094c0d.txt,08fd33_2_12_png.rf.83855dd839c8993d6dd9cce00c094c0d.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5057830729166667, 'y_center': 0.580532037037037, 'width': 0.9884338541666666, 'height': 0.5767613888888888, 'keypoints': [(0.46910604166666664, 0.3025643518518518, 2), (0.4180196354166667, 0.3344473148148148, 2), (0.3679483854166667, 0.3663809259259259, 2), (0.25827635416666667, 0.43500074074074074, 2), (0.16817625, 0.4932436111111111, 2), (0.015657552083333335, 0.5900969444444445, 2), (0.4136840625, 0.372092037037037, 2), (0.3116190625, 0.44497611111111113, 2), (0.42292682291666667, 0.4127604629629629, 2), (0.5594746875, 0.34959851851851853, 2), (0.5133239583333333, 0.39163046296296294, 2), (0.44071859375, 0.4564887037037037, 2), (0.35877484375, 0.5288664814814814, 2), (0.9385620312499999, 0.34773944444444443, 2), (0.9382507291666666, 0.43679833333333334, 2), (0.93868, 0.5482494444444445, 2), (0.9383931249999999, 0.8386754629629629, 2), (0.7071307291666666, 0.46609527777777776, 0), (0.709745625, 0.524076574074074, 0), (0.7066935416666666, 0.6380931481481481, 0), (0.709745625, 0.6995462962962963, 0), (0.8012672916666667, 0.5820578703703703, 0), (0.9058634375000001, 0.5210249074074075, 0), (0.9058634375000001, 0.6400391666666667, 0), (0.9803882291666667, 0.3470810185185185, 0), (0.9803882291666667, 0.4645694444444445, 0), (0.9803882291666667, 0.5210249074074075, 0), (0.9764658854166667, 0.6400391666666667, 0), (0.9791971875000001, 0.6991283333333332, 0), (0.9764658854166667, 0.8139830555555556, 0), (0.8040730729166667, 0.46623629629629626, 2), (0.6051494270833333, 0.580532037037037, 0)], 'num_visible_keypoints': 18}]",1,18.0,False,original
field_dataset/train/images/08fd33_2_13_png.rf.e92deff4c4813c85810dd30672f72e6d.jpg,field_dataset/train/labels/08fd33_2_13_png.rf.e92deff4c4813c85810dd30672f72e6d.txt,08fd33_2_13_png.rf.e92deff4c4813c85810dd30672f72e6d.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5777976851851852, 'width': 1.0, 'height': 0.5605576851851851, 'keypoints': [(0.41323651041666665, 0.3017361111111111, 2), (0.3598836458333333, 0.3341399074074074, 2), (0.31032916666666666, 0.3660300925925926, 2), (0.19742432291666667, 0.4399884259259259, 2), (0.10810140625, 0.4983398148148148, 2), (0.019841249999999998, 0.8032071296296296, 0), (0.35846151041666663, 0.37140120370370366, 2), (0.2533976041666667, 0.4475911111111111, 2), (0.36681520833333336, 0.4136139814814815, 2), (0.5042134375, 0.3452836111111111, 2), (0.4578450520833333, 0.38866101851851853, 2), (0.38820598958333336, 0.4545102777777778, 2), (0.30336302083333333, 0.5321, 2), (0.8745015625, 0.34017287037037036, 2), (0.8745341145833333, 0.42809240740740745, 2), (0.8755452604166667, 0.5381221296296297, 2), (0.87764484375, 0.8202618518518519, 2), (0.7037036979166668, 0.4665759259259259, 0), (0.70634921875, 0.5229282407407407, 0), (0.7037036979166668, 0.63415, 0), (0.70634921875, 0.6934683333333334, 0), (0.7989418229166667, 0.5792806481481482, 0), (0.9047619270833334, 0.5199623148148148, 0), (0.9047619270833334, 0.635632962962963, 0), (0.98015875, 0.3509052777777778, 0), (0.98015875, 0.465092962962963, 0), (0.98015875, 0.5199623148148148, 0), (0.9761904687499999, 0.635632962962963, 0), (0.98015875, 0.6905024074074074, 0), (0.9761904687499999, 0.8046900925925926, 0), (0.7451090625, 0.46060833333333334, 2), (0.6005291145833334, 0.5777976851851852, 0)], 'num_visible_keypoints': 17}]",1,17.0,False,original
field_dataset/train/images/08fd33_2_1_png.rf.6ee442e8600234c67c306c0bfca91e06.jpg,field_dataset/train/labels/08fd33_2_1_png.rf.6ee442e8600234c67c306c0bfca91e06.txt,08fd33_2_1_png.rf.6ee442e8600234c67c306c0bfca91e06.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.6288936111111111, 'width': 1.0, 'height': 0.7422127777777777, 'keypoints': [(0.02380953125, 0.3265105555555555, 0), (0.02380953125, 0.47770212962962966, 0), (0.02380953125, 0.5523161111111111, 0), (0.02380953125, 0.7054711111111112, 0), (0.019841249999999998, 0.7781215740740741, 0), (0.019841249999999998, 0.927349537037037, 0), (0.08994708333333333, 0.5542796296296296, 0), (0.08994708333333333, 0.7054711111111112, 0), (0.18783067708333334, 0.6288936111111111, 0), (0.29365078125, 0.47966564814814816, 0), (0.29629630208333335, 0.5542796296296296, 0), (0.29894182291666666, 0.7054711111111112, 0), (0.29894182291666666, 0.7800850925925926, 0), (0.5026455208333334, 0.3284740740740741, 0), (0.5, 0.5542796296296296, 0), (0.5, 0.7074346296296297, 0), (0.4973544791666667, 0.9293130555555555, 0), (0.47640583333333336, 0.34033203703703707, 2), (0.5565938541666667, 0.4061740740740741, 2), (0.6764017708333333, 0.5041558333333334, 2), (0.8235982291666667, 0.6204969444444445, 2), (0.7028686458333334, 0.43789425925925923, 2), (0.71094359375, 0.3748191666666667, 2), (0.8889139583333333, 0.48811129629629635, 2), (0.6101948958333333, 0.2651367592592592, 2), (0.6995544270833334, 0.31588907407407407, 2), (0.7861734895833333, 0.36498120370370374, 2), (0.9766316666666667, 0.4726489814814815, 2), (0.98015875, 0.7781215740740741, 0), (0.9761904687499999, 0.9293130555555555, 0), (0.40211640625, 0.6288936111111111, 0), (0.10446776041666667, 0.5258716666666667, 2)], 'num_visible_keypoints': 12}]",1,12.0,False,original
field_dataset/train/images/08fd33_2_2_png.rf.9c03827222f296517ca332bd6f451686.jpg,field_dataset/train/labels/08fd33_2_2_png.rf.9c03827222f296517ca332bd6f451686.txt,08fd33_2_2_png.rf.9c03827222f296517ca332bd6f451686.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.6231481481481481, 'width': 1.0, 'height': 0.7537037037037037, 'keypoints': [(0.02380953125, 0.3160837037037037, 0), (0.02380953125, 0.46961592592592594, 0), (0.02380953125, 0.5453850925925926, 0), (0.02380953125, 0.7009112037037037, 0), (0.0210103125, 0.775929537037037, 0), (0.019841249999999998, 0.9262248148148149, 0), (0.08994708333333333, 0.5473789814814815, 0), (0.08994708333333333, 0.7009112037037037, 0), (0.18783067708333334, 0.6231481481481481, 0), (0.29365078125, 0.4716098148148148, 0), (0.29629630208333335, 0.5473789814814815, 0), (0.29894182291666666, 0.7009112037037037, 0), (0.29894182291666666, 0.7766803703703704, 0), (0.5026455208333334, 0.3180775925925926, 0), (0.5, 0.5473789814814815, 0), (0.5009846875, 0.7020507407407407, 0), (0.4973544791666667, 0.9282187037037036, 0), (0.5075968229166666, 0.32909074074074074, 2), (0.5868265625000001, 0.39426361111111113, 2), (0.7073425520833333, 0.49168111111111107, 2), (0.8549580729166667, 0.6128219444444445, 2), (0.7342732812499999, 0.42546657407407407, 2), (0.7421183333333333, 0.3639793518518518, 2), (0.9219156770833333, 0.4779586111111111, 2), (0.64131265625, 0.252785, 2), (0.7291585416666667, 0.30324074074074076, 2), (0.8167541666666666, 0.35374351851851854, 2), (0.9761904687499999, 0.7009112037037037, 0), (0.98015875, 0.7746864814814814, 0), (0.9761904687499999, 0.9282187037037036, 0), (0.40211640625, 0.6231481481481481, 0), (0.13646036458333333, 0.5125108333333334, 2)], 'num_visible_keypoints': 11}]",1,11.0,False,original
field_dataset/train/images/08fd33_2_7_png.rf.5e685b2042c2e90e60f76bad0b138a9a.jpg,field_dataset/train/labels/08fd33_2_7_png.rf.5e685b2042c2e90e60f76bad0b138a9a.txt,08fd33_2_7_png.rf.5e685b2042c2e90e60f76bad0b138a9a.jpg,field_dataset/train,"[{'class_id': 0, 'class_name': 'pitch', 'x_center': 0.5, 'y_center': 0.5713223148148148, 'width': 1.0, 'height': 0.5907926851851852, 'keypoints': [(0.3351694791666667, 0.29156435185185187, 2), (0.27878302083333334, 0.3297116666666667, 2), (0.22595739583333332, 0.36374824074074075, 2), (0.10489890625, 0.44564490740740736, 2), (0.0, 0.5135907407407407, 2), (0.019841249999999998, 0.8088897222222222, 0), (0.276605, 0.37006500000000003, 2), (0.16371479166666666, 0.4551875, 2), (0.28635515625, 0.4114150925925926, 2), (0.4311185416666667, 0.3389761111111111, 2), (0.38423234375, 0.38591657407407404, 2), (0.30836739583333334, 0.4573664814814815, 2), (0.21824114583333334, 0.5430569444444444, 2), (0.8176673437499999, 0.3252726851851852, 2), (0.8192948958333334, 0.41493851851851854, 2), (0.8215214583333333, 0.5294424074074074, 2), (0.8251257291666667, 0.8221149999999999, 2), (0.7037036979166668, 0.4541014814814815, 0), (0.70634921875, 0.5134933333333334, 0), (0.7037036979166668, 0.6307141666666667, 0), (0.70634921875, 0.6932318518518518, 0), (0.7989418229166667, 0.5728851851851852, 0), (0.9047619270833334, 0.5103675, 0), (0.9047619270833334, 0.632277037037037, 0), (0.98015875, 0.33219185185185185, 0), (0.98015875, 0.4525385185185185, 0), (0.98015875, 0.5103675, 0), (0.9761904687499999, 0.632277037037037, 0), (0.9761904687499999, 0.6901060185185185, 0), (0.9761904687499999, 0.8104526851851852, 0), (0.6869558333333334, 0.4520312037037037, 2), (0.9631022395833334, 0.4810183333333334, 2)], 'num_visible_keypoints': 18}]",1,18.0,False,original
